city_name,population,p_value,l_est,l_std,l_ci_95_lower,l_ci_95_upper,n_block_groups
"Albuquerque, NM",906044.0900000001,0.4561639597744062,2.1950383589059372,0.12845362387323558,1.968287191460974,2.4676701134089396,566
"Atlanta-Sandy Springs-Roswell, GA",6090514.27,0.5350312576123204,1.9207555036691129,0.04218755310315463,1.8402268178785857,2.005361907938626,2586
"Austin-Round Rock-San Marcos, TX",2311705.24,0.6249790998689843,1.7212725150100068,0.04965942364529726,1.6350900600400267,1.8272681787858573,963
"Bakersfield-Delano, CA",885170.14,0.5037497751856093,2.0445110073382256,0.1204696568855081,1.826167444963309,2.2906020680453634,449
"Baltimore-Columbia-Towson, MD",2778526.4,0.5275419225964117,1.9589519679786527,0.048129515422516936,1.8692461641094062,2.0564209472981987,1927
"Boston-Cambridge-Newton, MA-NH",4760843.57,0.5708013914811082,1.8387398265510342,0.030084949847743663,1.7841894596397598,1.9012675116744497,3390
"Charlotte-Concord-Gastonia, NC-SC",2675788.26,0.5759197616287097,1.8283278852568379,0.046936867875326936,1.7501417611741161,1.932363242161441,1379
"Chicago-Naperville-Elgin, IL-IN",9211763.719999999,0.5481134919537115,1.8957188125416946,0.026320245836553263,1.8432288192128086,1.946297531687792,6438
"Colorado Springs, CO",739086.74,0.5618610736232408,1.8558842561707807,0.10863024065716695,1.6670613742494997,2.091444296197465,377
"Columbus, GA-AL",313487.48,0.4664892952452,2.2147835223482324,0.21208800497696284,1.83422281521014,2.6928202134756507,201
"Columbus, OH",2102866.19,0.5603089207348411,1.875432288192128,0.05011880837442905,1.7791360907271514,1.9773432288192128,1343
"Dallas-Fort Worth-Arlington, TX",7716722.220000001,0.5530678892787236,1.9020820547031354,0.025347816490583954,1.8582138092061375,1.9583055370246831,4117
"Denver-Aurora-Centennial, CO",2942667.12,0.6101768924786108,1.7542715143428953,0.03784672763193108,1.6820963975983991,1.8302951967978651,1787
"Detroit-Warren-Dearborn, MI",4322360.96,0.5618528269185982,1.871891927951968,0.03130820606022475,1.8001751167444964,1.928285523682455,3673
"El Paso, TX",855365.98,0.5202481762846964,1.995365243495664,0.10921107645157187,1.7971230820547033,2.216727818545697,513
"Fresno, CA",1145110.17,0.5179901009451995,1.9929796531020678,0.09823473755058168,1.8161857905270182,2.202518345563709,666
"Houston-Pasadena-The Woodlands, TX",7190922.279999999,0.5907871891355244,1.7817358238825884,0.031110122449251522,1.7171447631754504,1.8452301534356237,3023
"Indianapolis-Carmel-Greenwood, IN",2073595.7500000002,0.5521853404754629,1.865290527018012,0.06258507467644056,1.7471397598398934,1.9944046030687126,1167
"Jacksonville, FL",1613387.73,0.5184088369880193,1.9842648432288192,0.08659451165759284,1.8250667111407604,2.161490993995997,699
"Kansas City, MO-KS",2170969.96,0.5530709364126759,1.8910196797865244,0.05086292512307116,1.78616577718479,1.9873498999332888,1518
"Las Vegas-Henderson-North Las Vegas, NV",2273968.92,0.47185831894830726,2.1363472314876586,0.0765507532532883,1.9833222148098733,2.287650100066711,1280
"Los Angeles-Long Beach-Anaheim, CA",12759709.81,0.5486294238579086,1.8924786524349566,0.02190811840127867,1.8552118078719146,1.9383172114743161,8201
"Louisville/Jefferson County, KY-IN",1337079.81,0.5610172843161619,1.900549032688459,0.06061511169155528,1.7721814543028687,2.0264009339559705,927
"Memphis, TN-MS-AR",1320075.71,0.5279691235457962,1.9751097398265511,0.07390862626656662,1.8412024683122084,2.131445963975984,849
"Miami-Fort Lauderdale-West Palm Beach, FL",6048489.3100000005,0.5313469580798521,1.9567374916611076,0.03910093787391532,1.8742494996664443,2.0303535690460306,3379
"Milwaukee-Waukesha, WI",1539172.1700000002,0.5331970517569778,1.9322971981320884,0.06264343094716691,1.8211891260840563,2.0543695797198134,1299
"Minneapolis-St. Paul-Bloomington, MN-WI",3626592.1599999997,0.575990609202419,1.8037094729819882,0.036976402598552505,1.736157438292195,1.8732738492328218,2349
"Nashville-Davidson--Murfreesboro--Franklin, TN",2006629.3900000001,0.6118763550610379,1.7367458305537025,0.05816176700139796,1.6300617078052035,1.862241494329553,1012
"New York-Newark-Jersey City, NY-NJ",19273760.55,0.5436753628387633,1.9312344896597733,0.023469776025818765,1.8852318212141428,1.9683122081387592,13992
